category,localite,piece,chambres,area,price,monthly,description,Diagnostic de performance énergétique(kWhEP/m².an),Indice d'émission de gaz à effet de serre(kgeqCO2/m².an),plus,type
Maison / Villa,Miserey-Salines,5 pièces,145 m²,7 pièces,345 000 €,1 431 €,"style=""max-height: 66px;""><p>Réf 5621. Exclusivité, commune de Miserey-Salines, belle maison en pierre, de plain-pied, un hall d'entrée, WC séparé, une cuisine ouverte sur terrasse plein sud, vaste salon séjour lumineux avec cheminée ouverte, cellier, buanderie, garage deux voitures, à l'étage, quatre chambres, deux salles d'eau, WC séparé, cave en sous-sol, grenier aménageable, superbe piscine chauffée 9x4.5 avec volet électrique, une dépendance, taxe foncière 871 euros, chauffage au gaz de ville, proche commerces et écoles à pied, aucun vis-à-vis, vue panoramique, le charme de cette maison ancienne vous surprendra. Agent commercial indépendant</p><p>Retrouvez-nous sur: Contactez Philippe BOZON.</p><butto",,,"['Orientation Sud', '1 Terrasse', 'Vue', 'Piscine', 'Cheminée', 'Surface de 170m²', 'Bâtiment de 1 étage', '6 Pièces', '4 Chambres', 'Année de construction 1750', ""2 Salles d'eau"", '2 Toilettes', 'Chauffage individuel gaz', 'Cuisine coin cuisine équipé', 'Une entrée', 'Salle de séjour', 'Terrain de 1067m²', '2 Parkings']",Acheter
Appartement,"Quartier <!-- -->Croisette-Palm-Beach<!-- -->, <!-- -->Cannes",2 pièces,71.9 m²,3 pièces,540 000 €,2 234 €,"style=""max-height: 66px;""><p>Cannes Palm Beach Appartement 3 Pièces avec terrasse à vendre Cannes dans le secteur du Palm Beach: Dans une des rares résidences avec piscine proche de la mer, ce spacieux 3 pièces de 71 m² avec une terrasse de plus de 60 m² est à découvrir sans tarder. Il se décompose d'un beau hall d'entrée, d'un séjour-salon, d'une chambre avec sa salle de douche, d'une deuxième chambre avec salle de bain, d'une cuisine équipée et d'un WC.(Possibilité d'acheter l'appartement meublé). L'appartement est vendu avec un parking en sous-sol et une cave. L'immeuble bénéficie d'un Gardien, de l'eau chaude collective et du chauffage collectif. Hall d'entrée refait à neuf avec des matériaux de qualités.</p><butto",185.0,45.0,"['Orientation Sud-Est', 'Cave', '1 Terrasse', 'Piscine', 'Gardien', 'Ascenseur', 'Surface de 71m²', 'Bâtiment de 5 étages', '3 Pièces', '2 Chambres', 'Rez-de-chaussée', 'Adapté PMR', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Chauffage gaz radiateur', 'Cuisine équipée', 'Une entrée', 'Salle de séjour : 24m²', '1 Parking', 'Interphone', 'Orientation Est']",Acheter
Terrain,La Tranche-sur-Mer,463 m²,514 m²,375 m²,70 000 €,297 €,"style=""max-height: 66px;""><p>Iad France - Bruno TONDI vous propose: LA TRANCHE SUR MER PROCHE FORÊT ET MER - SECTEUR LA TERRIÈRE: Terrain à bâtir non viabilisé de 463 m² environ, emprise au sol de 50%, étage possible, à proximité immédiate de la forêt et de la mer. A 7 minutes en vélo du centre-ville et des commerces et de la plage de la TERRIÈRE !</p><p>Honoraires d'agence à la charge du vendeur. Bien non soumis au DPE. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M. Bruno TONDI (ID 1652), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de LA ROCHE SUR YON sous le numéro 477 664 668.</p><butto",,,"['Surface de 463m²', 'Terrain constructible']",Acheter
Appartement,"Quartier <!-- -->Centre Ville<!-- -->, <!-- -->Annonay",2 pièces,41 m²,2 pièces,45 000 €,194 €,"style=""max-height: 66px;""><p>A venir découvrir charmant T2 entièrement rénové.</p><p> Ce bel appartement situé au premier étage d'une copropriété vous séduira par sa lumineuse cuisine ouverte sur le salon, sa grande chambre de 13 m² et sa salle d'eau.</p><p> Situé dans un quartier calme, avec parking et à proximité du centre ville.</p><p> Venez le visiter avec Jennifer QUILLE Tél: mail: - Annonce rédigée et publiée par un Agent Mandataire -.</p><butto",299.0,9.0,"['4m² Balcon', 'Surface de 40,1m²', 'Bâtiment de 3 étages', '2 Pièces', '1 Chambre', 'Au 1er étage', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Chauffage individuel électrique radiateur', 'Cuisine aucune', 'Salle de séjour : 15m²', 'Calme']",Acheter
Maison / Villa,"Quartier <!-- -->Centre Ville-Historique<!-- -->, <!-- -->Mèze",4 pièces,150 m²,5 pièces,400 000 €,1 657 €,"style=""max-height: 66px;""><p>Villa de type 5 climatisée construite en 2919 sur une parcelle d'environ 450 m² avec piscine. Au rez-de-chaussée: hall, séjour-cuisine US équipée de 41 m² exposé Sud, une suite parentale avec salle d'eau et WC, une buanderie, un garage, une terrasse. Au 1er étage: un bureau, deux chambres avec placard, une salle d'eau-WC. VUE DÉGAGÉE SUR LA CAMPAGNE.</p><butto",27.0,1.0,"['Orientation Sud', '1 Terrasse', 'Vue', 'Surface de 131m²', 'Bâtiment de 1 étage', '5 Pièces', '3 Chambres', 'Année de construction 2019', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Rangements', 'Cuisine américaine équipée', 'Salle de séjour : 41m²', 'Terrain de 456m²', '1 Parking', '1 Box', 'Situation : ville']",Acheter
Appartement,"Quartier <!-- -->Sainte Marguerite<!-- -->, <!-- -->Marseille 9ème",5 pièces,106 m²,5 pièces,240 000 €,998 €,"style=""max-height: 66px;""><p>L'agence Stéphane Plaza Marseille Sainte-Marguerite vous propose à la vente ce bel appartement, situé sur le boulevard Paul Claudel, Bénéficiant d'un bel ensoleillement grâce à sa double exposition SUD-OUEST / NORD-OUEST, à l'intérieur de la Résidence Boisée et sécurisée'LES MAGNOLIAS, au 2 1er étage sur 3 étages sans ascenseur, type 3 d'une surface de 81.64 m² Loi carrez + 1 Terrasse de 8.46 m² + 1 loggia de 4.41 m². L'appartement se compose comme suit: Une belle entrée donnant sur une grande pièce de vie avec accès direct à la Terrasse et à la loggia, 1 cuisine indépendante meublée et équipée avec accès Terrasse. 1 long couloir avec placards mène à la partie nuit exposée NORD-EST, ou l'on trouve 2 belles chambres (dont 1 avec placards), 1 salle de bain et un WC séparé. 1 Garage en sous-sol et 1 cave viennent compléter ce bien taxe foncière: 1336 euros charges: 187 euros incluant eau froide, eau chaude, chauffage, entretien des parties communes, portail électrique et garage Aucune procédure au sein de la copropriété Honoraires à la charge du vendeur Mandat no 424.</p><butto",,,"['Cave', '1 Terrasse', 'Surface de 94,51m²', 'Bâtiment de 3 étages', '3 Pièces', '2 Chambres', 'Année de construction 1968', 'Au 2ème étage', '1 Salle de bain', '1 Toilette', 'Rangements', 'Chauffage gaz collectif radiateur', 'Cuisine séparée', 'Une entrée', 'Interphone', 'Digicode']",Acheter
Appartement,Valras-Plage,2 pièces,30 m²,2 pièces,89 000 €,376 €,"style=""max-height: 66px;""><p>Appartement T2 + cabine dans résidence sécurisée avec parking privé en centre ville situé au Rez-de-chaussée d'un petit bâtiment de 12 copropriétaires, résidence à 250 mètres de la rue piétonne, cet appartement en bon état et au calme se compose d'une pièce de vie avec un coin cuisine équipée, une salle d'eau avec son WC. Pour la nuit, on y trouve une chambre adultes avec un placard, et un coin cabine (lits supperposés) dans l'entrée. L'emplacement de parking est privé et le bâtiment est propre et il n'y a aucun travaux à prévoir.</p><butto",381.0,20.0,"['Surface de 28m²', '2 Pièces', '1 Chambre', 'Année de construction 1986', 'Rez-de-chaussée', ""1 Salle d'eau"", '1 Toilette', 'Meublé', 'Rangements', 'Cuisine aucune', 'Une entrée', '1 Parking', 'Calme']",Acheter
Appartement,Valras-Plage,2 pièces,32 m²,2 pièces,103 000 €,433 €,"style=""max-height: 66px;""><p>Appartement T2 + Cabine de 32m² avec parking privé dans une résidence sécurisée dans le secteur port au calme, situé à 400 mètres du centre ville et de la plage, idéal tout faire à pied, l'appartement se compose au 1er étage d'un petit bâtiment sécurisé, d'une entrée avec un coin cabine (lits superposés), donnant accès à une belle pièce de vie de 17m² bien ajourée, un coin cuisine équipée, rangements placards et accédant pour la nuit à une chambre adulte indépendante. Une salle de bains disposant également de rangement et un WC. L'appartement est en bon état, stationnement privé et réservé, pas de travaux à prévoir sur la résidence.</p><butto",266.0,13.0,"['Surface de 32m²', 'Bâtiment de 2 étages', '3 Pièces', '2 Chambres', 'Année de construction 1987', 'Au 1er étage', '1 Salle de bain', '1 Toilette', 'Meublé', 'Rangements', 'Chauffage électrique', 'Cuisine américaine équipée', 'Une entrée', 'Salle de séjour : 17m²', '1 Parking', 'Calme']",Acheter
Maison / Villa,"Quartier <!-- -->Colombier<!-- -->, <!-- -->Bezons",5 pièces,115 m²,6 pièces,451 500 €,1 870 €,"style=""max-height: 66px;""><p>BEZONS EXCLUSIVITÉ: Située proche du futur coeur de ville et à deux pas du tramway (T2), maison des années 90 avec de beaux volumes et une parcelle de terrain de 422m² intéressante. Elle se compose, au rez-de-chaussée: d'une entrée, d'un séjour double avec cheminée, d'une cuisine séparée, d'une chambre, d'une salle d'eau et un WC indépendant. A l'étage: 3 chambres avec placards et une salle de bains avec WC. Sous-sol total aménagé en buanderie, atelier et garage. Rare sur le secteur ! Travaux à prévoir.</p><butto",347.0,20.0,"['Cave', 'Surface de 103m²', 'Bâtiment de 3 étages', '5 Pièces', '4 Chambres', 'Année de construction 1993', '1 Salle de bain', '2 Toilettes', 'Rangements', 'Chauffage individuel', 'Cuisine aucune', 'Une entrée', 'Salle de séjour', 'Terrain de 422m²', '1 Parking', '1 Box', 'Travaux']",Acheter
Maison / Villa,"Quartier <!-- -->Champignon-Vignes Blanches-La Plaine<!-- -->, <!-- -->Carrières-sur-Seine",6 pièces,155 m²,5 pièces,845 000 €,3 491 €,"style=""max-height: 66px;""><p>Iad France - Stephanie MARGUERETTAZ vous propose:!! VISITE VIRTUELLE DISPONIBLE !! VIGNES-BLANCHES, GARE RER/SNCF à 20 mn à pied (8 mn en bus), proche des ÉCOLES et des COMMERCES. Maison en pierre très bien entretenue et de bonne construction constituée de 7 pièces avec 4 chambres d'une superficie d'environ 144 m² environ édifiée sur un sous-sol total et une parcelle de 751 m² environ, située dans un quartier pavillonnaire au calme. Au-delà de l'entrée vous découvrirez une belle pièce de vie lumineuse qui donne sur une grande terrasse, une cuisine moderne entièrement équipée qui accède également à celle-ci, 2 chambres, une salle d'eau et des toilettes séparés. L'étage dispose de 2 chambres (dont une avec un double espace), une salle de bain et un grand dressing. Son beau jardin arboré vous permettra de profiter des beaux-jours et à vos enfants de s'amuser. La maison possède un sous-sol avec un garage permettant de garer 2 véhicules et des 2 roues, une buanderie, un cellier, une grande pièce de rangement, une cave, il est aussi possible de stationner d'autres véhicules sur la parcelle.</p><p>Rare sur la marché, soyez rapide !</p><p>Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien: DPE E indice 239 et GES E indice 43. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mlle Stephanie MARGUERETTAZ (ID 22185), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de VERSAILLES sous le numéro 827506072.</p><butto",239.0,43.0,"['1 Terrasse', 'Surface de 144m²', 'Bâtiment de 1 étage', '5 Pièces', '4 Chambres', 'Année de construction 1954', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Rangements', 'Chauffage gaz radiateur', 'Cuisine équipée', 'Une entrée', 'Salle de séjour : 23m²', 'Terrain de 751m²', '1 Box', 'Alarme', 'Calme']",Acheter
