category,localite,piece,chambres,area,price,monthly,description,Diagnostic de performance énergétique(kWhEP/m².an),Indice d'émission de gaz à effet de serre(kgeqCO2/m².an),plus,type
Appartement,"Quartier <!-- -->Le Moulin a Vent<!-- -->, <!-- -->Ris-Orangis",2 pièces,46 m²,3 pièces,95 000 €,401 €,"style=""max-height: 66px;""><p>UNIQUEMENT CHEZ ORPI - LE PLATEAU D'ORANGIS - RAVALEMENT VOTÉ ET PAYÉ ! Appartement 2 pièces de 45m² comprenant: séjour donnant sur balcon, cuisine aménagée, 1 chambre, salle d'eau - WC indépendant. Nombreux rangements. 2 Caves et une place de parking privative. Proche de toutes commodités. Pour une visite ORPI au 01.69.43.29. 29.95000 euros Honoraires à la charge du vendeur.</p><butto",177.0,38.0,"['Cave', '1 Balcon', 'Ascenseur', 'Surface de 45m²', '2 Pièces', '1 Chambre', 'Au 14ème étage', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Rangements', 'Chauffage central', 'Salle de séjour : 17m²']",Acheter
Maison / Villa,"Quartier <!-- -->Saint Menet<!-- -->, <!-- -->Marseille 11ème",7 pièces,200 m²,5 pièces,490 000 €,2 028 €,"style=""max-height: 66px;""><p>LA PENNE SUR HUVEAUNE - proximité. MARSEILLE 11ème - BELLE MAISON T5 IMPOSANTE SUR TERRAIN PLAT DE 800 M² A VENDRE EN EXCLUSIVITÉ Aurea de l'agence Stéphane PLAZA MARSEILLE 6ème - 63 COURS PIERRE PUGET 13006 (En face du Palais de Justice - Métro Estrangin-Préfecture) - AVEC PLUS DE 300 ANNONCES IMMOBILIÈRES, vous présente EN EXCLUSIVITÉ: Belle maison exposée sud, sur un terrain de 800 m² au calme, proche toutes commodités et axes routiers sans en avoir les inconvénients. Cette maison offre un grand séjour de 60m² environ avec de grands volumes et une belle hauteur sous plafond et cheminée en pierre. Une cuisine équipée donnant sur une terrasse plein sud. La partie nuit se compose de 3 chambres, dont une suite parentale et sa salle d'eau. Une salle de bains et toilettes séparés. Possibilité d'emménager les combles. Au rez-de-chaussée, vous trouverez un garage et un studio indépendant. Le terrain plat et piscinable offre plusieurs espaces où l'on trouve des coins de fraîcheur avec arbres pour se réserver des moments de détente. Coup de coeur pour cette belle maison imposante offrant de beaux volumes ! VENTES - LOCATIONS - GESTION LOCATIVE - ESTIMATIONS OFFERTES - STÉPHANE PLAZA IMMOBILIER MARSEILLE 6 - 63, cours Pierre PUGET - 13006 MARSEILLE - Notre équipe est à votre disposition du Lundi au Samedi de 9h00 à 19h30 sans interruption - Tél: Mail.</p><butto",,,"['Orientation Sud', '1 Terrasse', 'Surface de 160m²', '5 Pièces', '3 Chambres', 'Année de construction 1938', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Chauffage individuel fuel', 'Cuisine séparée équipée', 'Salle de séjour : 55m²', 'Terrain de 800m²', '3 Parkings', 'Calme']",Acheter
Maison / Villa,"Quartier <!-- -->Nord<!-- -->, <!-- -->Saint-Jorioz",7 pièces,140 m²,6 pièces,450 000 €,1 863 €,"style=""max-height: 66px;""><p>Charmante maison mitoyenne d'environ 165 m² à vendre à Saint Jorioz proche des commodités. Elle se compose au rez-de-chaussée d'une grande entrée avec des placards, un cellier, une salle d'eau avec WC, une cuisine avec coin repas et poêle à bois; au 1er étage un séjour avec poêle à bois, une salle de douche avec double vasque, un WC séparé, une chambre très lumineuse avec une pièce pour bureau ou dressing et au 2ème étage trois chambres avec des placards. La maison possède également une terrasse aménagée, un garage, une place de stationnement et des combles aménageables partiellement. Le type de chauffage est au gaz de ville plus électrique. Coup de coeur assuré pour ses beaux volumes et son charme ! Classe énergie: C.</p><butto",99.0,23.0,"['1 Terrasse', 'Surface de 165m²', 'Bâtiment de 1 étage', '5 Pièces', '4 Chambres', 'Année de construction 1850', ""2 Salles d'eau"", '2 Toilettes', 'Rangements', 'Chauffage individuel gaz radiateur', 'Cuisine séparée', 'Une entrée', 'Salle de séjour : 26m²', 'Terrain de 152m²', '1 Parking', '1 Box', 'Orientation Nord-Ouest']",Acheter
Maison / Villa,"Quartier <!-- -->Nord<!-- -->, <!-- -->Saint-Jorioz",5 pièces,110 m²,5 pièces,692 000 €,2 861 €,"style=""max-height: 66px;""><p>A vendre à Saint Jorioz, dans un cadre calme et résidentiel. Découvrez cette villa d'architecte située à quelques minutes des commerces, implantée sur un terrain de plus de 1300 m². Côté jour, une entrée avec rangements, une cuisine ouverte sur un espace repas et un séjour avec cheminée, le tout donnant sur la terrasse. Côté nuit, au rez, une chambre en suite avec salle d'eau. A l'étage, 3 chambres dont une d'environ 20 m², une salle de bains. Côté détente, vous profiterez d'une belle terrasse offrant une vue panoramique. En annexes, un sous-sol total avec double garage, places de stationnement en extérieur. Le centre du village, le lac et les commerces sont accessibles à vélo ou à pieds, un arrêt de bus se trouve à quelques mètres de la maison. Classe énergie: D.</p><butto",204.0,36.0,"['Orientation Sud-Est', '1 Terrasse', 'Vue', 'Cheminée', 'Surface de 120m²', 'Bâtiment de 2 étages', '5 Pièces', '4 Chambres', 'Année de construction 1996', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Rangements', 'Chauffage individuel gaz mixte', 'Cuisine américaine', 'Une entrée', 'Salle de séjour', 'Terrain de 1313m²', '1 Box', 'Orientation Est', 'Calme']",Acheter
Appartement,"Quartier <!-- -->Port Neuf<!-- -->, <!-- -->La Rochelle",1 pièce,42 m²,2 pièces,247 600 €,1 029 €,"style=""max-height: 66px;""><p>LA ROCHELLE HYPER-CENTRE - Situation exceptionnelle sur le Vieux Port ! Dans une résidence de grand standing avec ascenseur et local à vélos, appartement T2 de 40m² habitable offrant des prestations haut de gamme. Il comprend une pièce de vie avec cuisine aménagée équipée, une chambre, une salle d'eau, et un WC.(Possibilité d'acquérir une place de parking en sous-sol sécurisé en supplément) Rare dans ce secteur ! Honoraires d'agence inclus: 5%TTC - Frais de notaire réduits: 5 133 euros !</p><butto",228.0,9.0,"['Ascenseur', 'Surface de 40m²', 'Bâtiment de 2 étages', '2 Pièces', '1 Chambre', 'Année de construction 2014', 'Rez-de-chaussée', ""1 Salle d'eau"", '1 Toilette', 'Chauffage électrique', 'Cuisine séparée équipée', 'Salle de séjour : 20m²', 'Calme']",Acheter
Maison / Villa,Festigny,4 pièces,123 m²,4 pièces,130 000 €,545 €,"style=""max-height: 66px;""><p>Iad France - Igor MEDJEAN vous propose: A Festigny, charmant village bourguignon à cinq minutes de Coulange-Sur-Yonne et ses commodités. Cette maison se compose au rez-de-chaussée d'un patio ouvert sur une terrasse orientée sud et le jardin, un séjour, une cuisine aménagée, une salle de bains avec WC, et une grande buanderie. A l'étage vous disposerez de quatre chambres, une salle de d'eau/dressing.</p><p>Le tout sur une parcelle de 400 m² environ. La prestation est complétée par une pompe à chaleur réversible, panneaux solaires, double-vitrage, et une piscine hors-sol.</p><p>Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien: DPE VI indice 0 et GES VI indice 0. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M. Igor MEDJEAN (ID 22405), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de AUXERRE sous le numéro 498189828.</p><butto",,,"['Orientation Sud', '1 Terrasse', 'Piscine', 'Surface de 129m²', 'Bâtiment de 1 étage', '6 Pièces', '4 Chambres', '1 Salle de bain', '1 Toilette', 'Cuisine séparée', 'Salle de séjour : 24m²', 'Terrain de 400m²']",Acheter
Maison / Villa,"Quartier <!-- -->Village<!-- -->, <!-- -->Persan",6 pièces,117 m²,5 pièces,279 000 €,1 159 €,"style=""max-height: 66px;""><p>Seulement chez Stéphane Plaza Immobilier !! En plein coeur de Persan ! Venez vous laisser séduire par cette magnifique maison aux volumes généreux. Elle vous offre un double séjour de plus de 50m², 3 belles chambres volumineuses dont une d'environ 18m² et une grande cuisine indépendante. Le tout sur un terrain d'environ 310 m². Son plus une cave totale pouvant être aménagée ! A visiter sans Tarder !</p><butto",,,"['Orientation Sud', 'Cave', 'Surface de 139m²', '6 Pièces', '3 Chambres', 'Année de construction 1945', '1 Salle de bain', ""1 Salle d'eau"", '3 Toilettes', 'Chauffage individuel gaz radiateur', 'Cuisine équipée', 'Salle de séjour', 'Terrain de 310m²', '3 Parkings', 'Orientation Nord']",Acheter
Appartement,"Quartier <!-- -->Le Grand Duc-Minelle<!-- -->, <!-- -->Mandelieu-la-Napoule",4 pièces,108.71 m²,4 pièces,560 000 €,2 317 €,"style=""max-height: 66px;""><p>Dans une récente et luxueuse résidence avec piscine située au coeur d'un quartier très prisé de Minelle, votre Agence Stéphane Plaza Immobilier vous propose en EXCLUSIVITÉ un magnifique appartement 3 pièces de 106m² en rez-de-jardin bénéficiant d'une vue splendide et dégagée sur les collines et le golf. Vous aurez l'impression de vivre dans une villa de plain pied !! Il se compose d'un hall d'entrée avec placard, d'un vaste et lumineux séjour de 40 m² avec une cuisine américaine entièrement équipée, et qui ouvre sur une agréable terrasse sertie d'un jardin complanté à l'ambiance des plus cosy. Pour vos nuits étoilées, vous serez sous le charme de ses deux belles Suites Parentales avec leur salle de bain privative et double dressing.. Véritable petit coin de paradis au calme absolu avec un ensoleillement parfait car présent tout au long de la journée !! Ces belles prestations sont complétées par un garage fermé, une place de parking et une cave attenante à l'appartement. Copropriété de 36 lots d'habitations. Charges 398 €/mois. Les honoraires sont à la charge du vendeur. Copropriété de 95 lots (Pas de procédure en cours). Charges annuelles: 4772.00 euros.</p><butto",109.0,3.0,"['Cave', '1 Terrasse', 'Vue', 'Piscine', 'Gardien', 'Ascenseur', 'Surface de 106m²', 'Bâtiment de 3 étages', '3 Pièces', '2 Chambres', 'Année de construction 2005', 'Rez-de-chaussée', 'Adapté PMR', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Rangements', 'Chauffage climatisation réversible individuelle', 'Cuisine américaine équipée', 'Une entrée', 'Salle de séjour : 40m²', '1 Parking', '1 Box', 'Orientation Ouest', 'Calme']",Acheter
Immeuble,"Quartier <!-- -->Centre Bourg<!-- -->, <!-- -->Épône",120 m²,120 m²,126 m²,336 000 €,1 394 €,"style=""max-height: 66px;""><p>Ancien corps de ferme div isé en une maison de ville 75 m² sur deux niveaux deux chambres à l étage salle de bain, rez-de-chaussée pièce à vivre, cuisine, WC, grande cave et une place de parking dans la cour des travaux ont étés réalisés et un appartement de 56 m² sur deux niveaux comprenant pièce a vivre, cuisIne une chambre et une mezZanine de 17 m² une place de parking et possibilité de créer un studio sur dessus de grange. PAS DE CHARGE DE COPROPRIÉTÉ. Location appartement 700 euros Maison 800 euros IDÉAL POUR INVESTISSEURS.. VENEZ LE VISITER.. Copropriété de 3 lots (Pas de procédure en cours). Charges annuelles: 1.00 euros.</p><butto",394.0,22.0,"['Surface de 135m²', 'Année de construction 1930', '3 Parkings', 'Travaux']",Acheter
Parking,Paris 11ème,9.4 m²,10 m²,10 m²,17 000 €,78 €,"style=""max-height: 66px;""><p>BOULEVARD VOLTAIRE - RUE DE CHARONNE À 60 m du métro Charonne, dans une copropriété bien entretenu au 3ème sous-sol une place parking de 8.73 m². Place de bonne taille avec belle hauteur. À saisir dont 25.93 % honoraires TTC à la charge de l'acquéreur. Copropriété de 85 lots (Pas de procédure en cours). Charges annuelles: 440.00 euros.</p><butto",,,"['Surface de 8,73m²']",Acheter
Maison / Villa,Alixan,5 pièces,157 m²,8 pièces,468 000 €,1 938 €,"style=""max-height: 66px;""><p>EN EXCLUSIVITÉ, proche de la Gare TGV, en campagne, au calme, ancienne ferme rénovée offrant environ 178 m² habitables, chauffée par le sol au rez-de-chaussée. Le bien comprend 3 chambres, un séjour avec cheminée, une terrasse, une piscine couverte et chauffée. Exposition plein Sud. Vue sur le Vercors.</p><p> Ses plus: parc d'environ 5 000 m² avec puits, hangar, garage, dépendances aménageables avec 8 m au faitage SANS VIS-à-VIS.</p><p> Visitez ce bien sans plus attendre avec rosa </p><p> ou par mail - Annonce rédigée et publiée par un Agent Mandataire -.</p><butto",119.0,35.0,"['Orientation Sud-Est', 'Cave', '1 Terrasse', 'Piscine', 'Cheminée', 'Surface de 180m²', 'Bâtiment de 2 étages', '5 Pièces', '3 Chambres', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Chauffage individuel', 'Cuisine aucune', 'Salle de séjour : 48m²', 'Terrain de 5431m²', '2 Boxs', 'Orientation Est', 'Calme']",Acheter
Maison / Villa,"Quartier <!-- -->Les Hameaux-La Croix Aux Buis-Chapelle<!-- -->, <!-- -->Magny-les-Hameaux",5 pièces,96 m²,5 pièces,383 000 €,1 587 €,"style=""max-height: 66px;""><p>Bâtie sur terrain bien exposé de 619 m² avec dépendances, ravissante maison de 90 m² utiles offrant un beau potentiel d'agrandissement. Elle comprend: entrée, séjour traversant avec cheminée, cuisine équipée, salle d'eau. A l'étage: dégagement desservant 2 chambres, un bureau, une salle de bains. Garage attenant. Le tout idéalement situé au calme dans un environnement pavillonnaire, à proximité immédiate des école et commerces du centre ville. Belle opportunité ! Dont 3.51 % honoraires TTC à la charge de l'acquéreur.</p><butto",,,"['Surface de 90m²', '4 Pièces', '3 Chambres', 'Année de construction 1980', '1 Salle de bain', ""1 Salle d'eau"", 'Chauffage individuel électrique', 'Cuisine aucune', 'Une entrée', 'Salle de séjour', 'Terrain de 619m²', 'Orientation Est', 'Calme']",Acheter
Maison / Villa,"Quartier <!-- -->Poste Mairie<!-- -->, <!-- -->Talence",5 pièces,180 m²,6 pièces,781 100 €,3 228 €,"style=""max-height: 66px;""><p>Offrez-vous un emplacement exceptionnel sur la commune de Talence depuis le nouveau coeur battant de la ville ! Cette maison esprit loft vous offre, grâce à de grandes surfaces vitrées uniques une pièce de vie lumineuse, ouverte sur l'extérieur et donnant sur une vaste terrasse en bois. Avec son séjour cathédrale, sa cuisine américaine et son cellier attenant, le loft offre de belles prestations venant agrémenter l'architecture moderne. On retrouve également, une suite parentale avec salle d'eau privative, trois chambres avec placards et un bureau. Deux WC indépendants, une salle de bain et une salle d'eau complètent le tout. Bien d'exception, idéal pour une famille ! Contacter l'agence Nestenn de Talence dont 5.55 % honoraires TTC à la charge de l'acquéreur.</p><butto",193.0,6.0,"['Orientation Sud', '1 Terrasse', 'Surface de 175m²', 'Bâtiment de 1 étage', '6 Pièces', '4 Chambres', 'Année de construction 1948', 'Adapté PMR', '1 Salle de bain', ""2 Salles d'eau"", '2 Toilettes', 'Rangements', 'Chauffage individuel électrique radiateur', 'Cuisine équipée', 'Salle de séjour', 'Terrain de 234m²']",Acheter
Maison / Villa,Lommoye,9 pièces,170 m²,4 pièces,249 000 €,1 035 €,"style=""max-height: 66px;""><p>Sur un secteur calme.. A 15 min de l'accès A13.. Longère de 180m² cpt vaste séjour de 60m² avec une cuisine à aménagée et équipée de 22m², chaufferie, toilette. A l'étage palier desservant 3 chambres sont une de 30m² avec arrivé d'eau, une salle de bains avec douche et toilette. Le tout sur un terrain de 986m² avec une grange attenante de 85m² au sol, possibilité de faire R + 1. Du potentiel à rafraichir.. N° MANDAT 3208 Commission à charge vendeur.</p><butto",315.0,,"['Surface de 179m²', 'Bâtiment de 1 étage', '6 Pièces', '3 Chambres', 'Année de construction 1800', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Chauffage climatisation réversible individuelle', 'Cuisine américaine', 'Salle de séjour', 'Terrain de 986m²', 'Calme']",Acheter
Maison / Villa,Ambutrix,5 pièces,148 m²,4 pièces,160 000 €,668 €,"style=""max-height: 66px;""><p>Au coeur du village – Charmante maison en pierre de 148 m² avec cour couverte et terrain non-attenant de 302 m² offrant au rez-de-chaussée une entrée desservant un grand salon avec un cheminée, une cuisine aménagée ouverte sur la terrasse, une ancienne cuisine pouvant être transformée en chambre ou en salon, un WC. A l'étage, la maison propose trois chambres, une salle de bains. Parquet. Poutres et pierres apparentes. Rangements. Chauffage central au gaz de ville Combles aménageables. Cave en sous-sol. Abri voiture pouvant être transformé en garage fermé. Barbecue. Four à pizza. Les honoraires sont à la charge du vendeur.</p><butto",169.0,29.0,"['Cave', '1 Terrasse', 'Cheminée', 'Surface de 148m²', 'Bâtiment de 1 étage', '5 Pièces', '4 Chambres', 'Année de construction 1900', '1 Salle de bain', '1 Toilette', 'Toilette séparée', 'Parquet', 'Rangements', 'Chauffage gaz', 'Cuisine séparée', 'Une entrée', 'Salle à manger', 'Salle de séjour', 'Terrain de 302m²', 'Travaux', 'Calme']",Acheter
Maison / Villa,Marguerittes,9 pièces,240 m²,8 pièces,390 000 €,1 616 €,"style=""max-height: 66px;""><p>Saint-Gervasy, NIMES-EST. Ravissante Maison de caractère située en centre-ville dans un charmant village gardois, située à 10 min à l'Est de Nîmes. Elle se compose de 5 pièces mélangeant confort et charme: grand salon cathédrale convivial, cuisine équipée, 3 chambres avec 3 salles de bains. Possibilité d'aménager une grande chambre au rez-de-chaussée.</p><p> Maison très bien entretenue avec une terrasse couverte donnant sur le jardin entièrement clos. Superbe opportunité. Chauffage au gaz de ville. Grand garage attenant de 80 m².</p><p>Commerces, restaurant et écoles à proximité, dans le village.</p><p>Nîmes à 10 minutes.</p><p>Aéroport 20min &amp; Gare TGV 15 minutes.</p><butto",,,"['2 Terrasses', 'Cheminée', 'Surface de 231m²', 'Bâtiment de 2 étages', '6 Pièces', '3 Chambres', 'Année de construction 1800', 'Refait à neuf', '3 Salles de bain', ""1 Salle d'eau"", '2 Toilettes', 'Toilette séparée', 'Rangements', 'Télévision', 'Chauffage gaz radiateur', 'Cuisine séparée équipée', 'Une entrée', 'Salle à manger', 'Salle de séjour', 'Terrain de 370m²', '3 Boxs', 'Alarme', 'Calme', 'Mitoyenneté']",Acheter
Maison / Villa,"Quartier <!-- -->Poste Mairie<!-- -->, <!-- -->Talence",5 pièces,121 m²,6 pièces,686 600 €,2 838 €,"style=""max-height: 66px;""><p>Offrez-vous un emplacement exceptionnel sur la commune de Talence à proximité immédiate du tramway ligne B ! Cette maison vous offre, grâce à de grandes surfaces vitrées uniques une pièce de vie lumineuse, ouverte sur l'extérieur et donnant sur une vaste terrasse en bois. Avec son séjour, sa cuisine américaine et son cellier attenant, cette maison offre de belles prestations venant agrémenter l'architecture moderne mélangée au charme de l'Arcachonnaise. On retrouve également, une chambre parentale avec possibilité d'une salle d'eau privative, trois chambres. Un WC indépendant, une salle de bain et une immense cave complètent le tout. Bien d'exception, idéale pour une famille ! Contacter l'agence Nestenn de Talence dont 5.63 % honoraires TTC à la charge de l'acquéreur.</p><butto",190.0,32.0,"['Orientation Sud-Ouest', 'Cave', '1 Terrasse', 'Surface de 120m²', '6 Pièces', '4 Chambres', 'Année de construction 1937', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Chauffage individuel gaz radiateur', 'Cuisine équipée', 'Salle de séjour', 'Terrain de 407m²', '1 Parking', 'Orientation Ouest']",Acheter
Appartement,"Quartier <!-- -->Le Grand Duc-Minelle<!-- -->, <!-- -->Mandelieu-la-Napoule",3 pièces,71.82 m²,3 pièces,385 000 €,1 595 €,"style=""max-height: 66px;""><p>Berti and Sons Immobilier vous propose à vendre en exclusivité un appartement à Mandelieu, dans un domaine privé et gardé 24h/24 avec tennis et club sportif - résidence avec piscine - au rez-de-chaussée appartement en parfait état de 3 pièces de 73 m² + grande terrasse de 33 m² - cuisine américaine meublée ouverte sur séjour de 26.67 m² - 2 chambres de 13.56 m² et 11.81 m² - salle de bains - WC indépendants - chauffage et clim réversibles - cave + garage avec électricité/porte télécommandée. Copropriété de 197 lots (Pas de procédure en cours). Charges annuelles: 3900.00 euros.</p><butto",118.0,4.0,"['Orientation Sud-Est', 'Cave', '1 Terrasse', 'Piscine', 'Gardien', 'Ascenseur', 'Surface de 73m²', '3 Pièces', '2 Chambres', 'Année de construction 2005', 'Rez-de-chaussée', '1 Salle de bain', '1 Toilette', 'Chauffage climatisation réversible individuelle', 'Cuisine américaine', 'Salle de séjour : 26,67m²', '1 Box', 'Orientation Est']",Acheter
Maison / Villa,Angoulins,5 pièces,90 m²,3 pièces,295 545 €,1 227 €,"style=""max-height: 66px;""><p>Plain-pied, de 2017 située sur la commune d'Angoulins, comprenant une entrée, une cuisine ouverte sur salon-séjour lumineux avec un accès sur le jardin, un cellier, un WC, une salle de bain, deux chambres, une suite parentale avec salle d'eau, WC et dressing, un garage traversant attenant à l'habitation. Accès rapide à La Rochelle. A visiter sans plus attendre ! Dont 3.70 % honoraires TTC à la charge de l'acquéreur.</p><butto",47.0,2.0,"['Orientation Sud-Est', 'Surface de 87,19m²', '4 Pièces', '3 Chambres', 'Année de construction 2017', 'Adapté PMR', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Chauffage individuel mixte', 'Cuisine équipée', 'Une entrée', 'Salle de séjour', 'Terrain de 217m²', '1 Box', 'Orientation Est']",Acheter
Maison / Villa,"Quartier <!-- -->Plateau-Mont Valérien<!-- -->, <!-- -->Rueil-Malmaison",6 pièces,138 m²,5 pièces,998 000 €,4 121 €,"style=""max-height: 66px;""><p>Maison ancienne de charme/jardin - Au rez-de-chaussée hall d'entrée - bureau - garage - buanderie - chaufferie a la suite Grand hangar Etage; pièce de vie/belle hauteur - cuisine aménagée - chambre - salle d'eau - dressing - WC Combles: Salle de jeux - deux chambres - salle de bains WC A venir découvrir.</p><butto",332.0,56.0,"['Surface de 142m²', 'Bâtiment de 2 étages', '6 Pièces', '4 Chambres', 'Année de construction 1948', '2 Salles de bain', ""1 Salle d'eau"", '2 Toilettes', 'Chauffage individuel gaz radiateur', 'Cuisine équipée', 'Une entrée', 'Salle de séjour : 28,67m²', 'Terrain de 416m²', '1 Box']",Acheter
Maison / Villa,"Quartier <!-- -->Centre Forêt<!-- -->, <!-- -->Rambouillet",7 pièces,240 m²,14 pièces,365 000 €,1 513 €,"style=""max-height: 66px;""><p>A 15min de Rambouillet, dans un cadre exceptionnel et bucolique découvrez ce corps de ferme plein de charme. Il se compose de la façon suivante: - Une première maison avec une entrée, une cuisine, une belle pièce de vie avec poutres apparentes, 4 chambres et une salle d'eau. - Une deuxième maison composée d'une pièce de vie avec cheminée et escalier en marbre, d'une cuisine, d'une salle de bains, et d'une passerelle donnant accès à une chambre. Possibilité d'aménager deux autres dépendances en 2 pièces et en studio. Fort potentiel ! Le tout sur un terrain de 2200 m².</p><butto",109.0,29.0,"['Orientation Sud-Ouest', 'Surface de 260m²', '10 Pièces', '5 Chambres', 'Année de construction 1900', '2 Salles de bain', ""1 Salle d'eau"", 'Chauffage individuel électrique', 'Cuisine aucune', 'Une entrée', 'Terrain de 2200m²', 'Orientation Ouest']",Acheter
Maison / Villa,"Quartier <!-- -->Nartelle-Noyer-Bellevue-bd des Sardinaux<!-- -->, <!-- -->Sainte-Maxime",6 pièces,180 m²,7 pièces,899 000 €,3 714 €,"style=""max-height: 66px;""><p>L'agence Stephane Plaza Sainte-maxime vous propose cette belle maison située sur les hauteurs du domaine du Golf. Le bien se compose d'un bel espace de vie de plus de 60 m² ouvert sur une large terrasse avec piscine à débordement. Grande cuisine de 20 m² avec une liaison vers le garage en sous-sol de plus de 40 m². Espace bureau, et suite parentale sur le même niveau. A l'étage, deux chambres, deux salles de douches, WC, avec un accès terrasse. Maison dans un très bel état de présentation. Jardin paysagé. Coup de coeur assuré. Copropriété de 100 lots (Procédure en cours). Charges annuelles: 803.53 euros.</p><butto",208.0,10.0,"['Orientation Sud', '1 Balcon', '1 Terrasse', 'Piscine', 'Cheminée', 'Surface de 154m²', 'Bâtiment de 2 étages', '6 Pièces', '3 Chambres', 'Année de construction 1992', ""3 Salles d'eau"", '4 Toilettes', 'Chauffage individuel électrique radiateur', 'Cuisine séparée équipée', 'Terrain de 1231m²', '2 Parkings', '1 Box', 'Alarme', 'Situation : mer']",Acheter
Appartement,"Quartier <!-- -->Gambetta<!-- -->, <!-- -->Nîmes",5 pièces,150 m²,5 pièces,365 000 €,1 513 €,"style=""max-height: 66px;""><p>L'ESSENTIEL: Appartement bourgeois, 3 chambres, excellent état, tout proche des Halles à Nîmes. Cave et grenier.</p><p>ON AIME: Le secteur recherché, la hauteur sous plafond et les volumes généreux, le vaste séjour double de plus de 60 m² avec balcon, la suite parentale indépendante, la cuisine très bien équipée avec buanderie, la décoration sobre et actuelle, donnant un charme certain.</p><butto",75.0,17.0,"['Cave', '1 Balcon', 'Surface de 141m²', '5 Pièces', '3 Chambres', 'Année de construction 1830', 'Au 1er étage', '1 Salle de bain', '2 Toilettes', 'Chauffage gaz', 'Salle de séjour : 61m²']",Acheter
Maison / Villa,Montmeyan,7 pièces,134 m²,3 pièces,249 000 €,1 035 €,"style=""max-height: 66px;""><p>Jolie villa rénovée à Montmeyan Villa rénovée avec goût, pour une surface habitable de 116.5 m² env, avec grande pièce de vie lumineuse et climatisée, véranda ouverte et son poêle à granules, coin bureau, cuisine récente entièrement équipée, buanderie/cellier, 2 chambres avec salle d'eau, dressing, et toilette. Terrain de 1 550 m² piscinable relativement plat et clos avec double terrasses, portail électrique, arbres fruitiers (abricotier, figuier et oliviers), puits, bassin et garage indépendant transformable de 24 m² env. Maison agréable à vivre et bien située, coup de coeur assuré !</p><butto",111.0,34.0,"['3 Terrasses', 'Vue', 'Surface de 116,5m²', '4 Pièces', '2 Chambres', 'Année de construction 1966', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Chauffage individuel électrique', 'Cuisine séparée', 'Salle de séjour : 23m²', 'Terrain de 1550m²', '1 Box', 'Orientation Est']",Acheter
Maison / Villa,"Quartier <!-- -->La Garenne-Saules-Forêt de Sénart<!-- -->, <!-- -->Montgeron",7 pièces,248 m²,7 pièces,668 000 €,2 762 €,"style=""max-height: 66px;""><p>IAD France - Afafe BEN ELGHALI vous propose: A Montgeron, opportunité à saisir, pour les amoureux de la nature et du calme au coeur de la forêt e Sénart, près de toutes commodités, rattachée aux écoles Ferdinand Buisson, lycée Rosa Parks (recherchés) non loin du centre ville de Montgeron se trouve une belle demeure d'artiste en pierre avec de beaux volumes (248 m² environ loi carrez): grande entrée très claire, un vaste séjour de 70 m² environ ou domine une belle cheminée en pierre, cette salle de réception donne entre deux terrasses et une triple exposition, une grande cuisine équipée et indépendante, une grande chambre, une salle de bain et WC.</p><p> A l'étage se trouve un vaste palier éclairé desservant 3 chambres spacieuses, salle de bain, WC, salle d'eau, bureau, atelier d'artiste, des espaces de vie pouvant être agencer selon vos besoins, s'ajoute au dernier étage un grenier aménageable.</p><p>Ce bien rare d'une qualité de construction traditionnelle est élevé sur un sous-sol total comprenant une buanderie, trois caves et un garage de 70 m² environ, le tout sur un jardin paysagé et arboré de plus de 1000 m² environ avec une serre, un puits et sans vis à vis.</p><p>Venez vite découvrir cette demeure unique !! Toute demeure de charme sera parfait pour une famille, pour profession libérale et profession artistique.</p><p>Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien: DPE D indice 224.7 et GES F indice 67.4. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Afafe BEN ELGHALI (ID 26894), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de EVRY sous le numéro 834753675.</p><butto",225.0,67.0,"['2 Terrasses', 'Cheminée', 'Surface de 248m²', '6 Pièces', '5 Chambres', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Chauffage fuel radiateur', 'Cuisine équipée', 'Une entrée', 'Salle de séjour', 'Terrain de 1080m²', '1 Box', 'Alarme', 'Calme']",Acheter
